Adverse Event,Count
confusional state,27
liver injury,26
drug intolerance,26
blood bilirubin increased,26
histoplasmosis,26
abdominal distension,26
premature rupture of membranes,26
vertigo,26
hyperkalaemia,26
renal cyst,26
gene mutation,26
pregnancy on contraceptive,25
dehydration,25
thrombocytopenia,25
progressive multifocal leukoencephalopathy,25
hyperhidrosis,25
thrombosis,25
disturbance in attention,25
drug reaction with eosinophilia and systemic symptoms,25
drug hypersensitivity,24
hepatic cytolysis,24
palpitations,24
congenital umbilical hernia,24
pregnancy with implant contraceptive,24
arthritis,24
metabolic disorder,23
hypotension,23
paradoxical drug reaction,23
irritability,23
generalised tonic-clonic seizure,23
hypercholesterolaemia,23
renal tubular acidosis,23
upper limb fracture,23
spinal compression fracture,22
hepatitis b,22
erectile dysfunction,22
renal failure acute,22
haematuria,22
pulmonary embolism,22
impaired work ability,22
birth mark,22
lower limb fracture,22
hypoaesthesia,21
oesophageal candidiasis,21
cytomegalovirus chorioretinitis,21
splenomegaly,21
transaminases increased,21
no adverse event,21
drug level increased,21
ataxia,21
memory impairment,21
dysarthria,21
liver disorder,21
pancreatitis,20
mental disorder,20
acute hepatic failure,20
hepatocellular injury,20
hallucination,20
spinal fracture,20
incorrect route of product administration,20
labelled drug-drug interaction medication error,20
metabolic acidosis,20
bone disorder,20
rash pruritic,20
tubulointerstitial nephritis,19
hyperparathyroidism secondary,19
platelet count decreased,19
cerebrovascular accident,19
chills,19
premature baby,19
hepatitis,19
portal hypertension,19
paraesthesia,19
hydrops foetalis,19
psychomotor retardation,19
erythema,19
hepatic enzyme increased,18
renal tubular dysfunction,18
gastroenteritis,18
leukopenia,18
cardiac disorder,18
hypertriglyceridaemia,18
dermatitis allergic,18
renal tubular necrosis,18
hepatic failure,18
fear,18
abdominal pain upper,18
mycobacterium avium complex infection,18
deep vein thrombosis,18
cachexia,18
meningitis tuberculous,18
cerebellar ataxia,18
lethargy,18
drug eruption,17
coronary artery disease,17
drug level above therapeutic,17
septic shock,17
febrile neutropenia,17
ascites,17
hip arthroplasty,17
depressed mood,17
osteomalacia,17
blood lactic acid increased,17
exercise tolerance decreased,17
drug abuse,17
disease progression,17
dysuria,16
ectopic pregnancy,16
disseminated tuberculosis,16
suicide attempt,16
herpes zoster,16
discomfort,16
oedema peripheral,16
spinal osteoarthritis,16
hemiparesis,16
visual field defect,16
glycosuria,16
intervertebral disc degeneration,16
cleft lip and palate,16
completed suicide,16
vision blurred,16
blood triglycerides increased,16
aplasia pure red cell,15
hospitalisation,15
disorientation,15
abdominal discomfort,15
tibia fracture,15
renal tubular disorder,15
protein urine present,15
extraocular muscle paresis,15
overdose,14
bone density abnormal,14
night sweats,14
loss of consciousness,14
hepatic fibrosis,14
viraemia,14
blood cholesterol increased,14
product substitution issue,14
visual acuity reduced,14
basedow's disease,14
lymphopenia,13
central nervous system lesion,13
cryptococcosis,13
rash papular,13
hydronephrosis,13
unmasking of previously unidentified disease,13
renal pain,13
agitation,13
skin exfoliation,13
amnesia,13
brain herniation,13
tooth fracture,13
pathological fracture,13
gastrooesophageal reflux disease,13
ultrasound antenatal screen,13
congestive cardiomyopathy,13
photosensitivity reaction,13
intracranial pressure increased,12
infection,12
hepatitis cholestatic,12
immune system disorder,12
meningitis,12
adverse drug reaction,12
low birth weight baby,12
bone marrow failure,12
skin plaque,12
rash erythematous,12
immunodeficiency,12
chronic kidney disease-mineral and bone disorder,12
pneumonia bacterial,12
coma,12
neuropsychiatric symptoms,12
non-cirrhotic portal hypertension,12
pleural effusion,12
gastric disorder,12
mouth ulceration,12
inflammation,12
cardiac failure,12
poor quality sleep,12
angina pectoris,12
hepatic steatosis,12
pancreatitis acute,12
extrapulmonary tuberculosis,12
lipoatrophy,12
therapy non-responder,12
dementia alzheimer's type,12
glucose tolerance impaired,12
encephalitis,12
chromaturia,11
hepatosplenomegaly,11
hypokinesia,11
dyspepsia,11
tachycardia,11
twin pregnancy,11
femoral neck fracture,11
respiratory disorder,11
lichenoid keratosis,11
pre-eclampsia,11
creatinine renal clearance decreased,11
trisomy 18,11
toxic skin eruption,11
hypokalaemia,11
meningomyelocele,11
neural tube defect,11
spina bifida,11
type 2 diabetes mellitus,11
multi-organ failure,11
tachypnoea,11
rhabdomyolysis,11
hepatocellular carcinoma,11
liver function test increased,11
osteoporotic fracture,11
night blindness,11
influenza like illness,11
urinary retention,11
musculoskeletal disorder,11
oedema,11
sensory disturbance,11
folate deficiency,11
lipids increased,11
mitochondrial myopathy,11
abnormal behaviour,11
hepatitis toxic,11
acquired immunodeficiency syndrome,11
pallor,11
cardiovascular disorder,11
lower respiratory tract infection,10
muscle spasms,10
lymph node tuberculosis,10
immune reconstitution inflammatory syndrome associated kaposi's sarcoma,10
varices oesophageal,10
haemophagocytic lymphohistiocytosis,10
altered state of consciousness,10
immunosuppression,10
gastritis,10
oral disorder,10
maternal drugs affecting foetus,10
gestational diabetes,10
nephrogenic anaemia,10
pyelonephritis,10
polydactyly,10
therapeutic response decreased,10
uterine dilation and curettage,10
lipids abnormal,10
delirium,10
secondary syphilis,10
vitritis,10
talipes,10
necrotising retinitis,10
hydrocephalus,10
cerebral ischaemia,10
neurological symptom,10
retinopathy,10
gout,10
myelitis transverse,10
cerebral toxoplasmosis,10
covid-19,10
tuberculoma of central nervous system,10
drug dose omission,10
tremor,9
castleman's disease,9
laboratory test abnormal,9
intestinal obstruction,9
renal transplant,9
placental disorder,9
post-traumatic stress disorder,9
blood creatine phosphokinase increased,9
renal colic,9
liver function test abnormal,9
cardiac failure congestive,9
oral discomfort,9
metrorrhagia,9
acquired gene mutation,9
flushing,9
acute coronary syndrome,9
myopathy,9
feeling hot,9
hypoxia,9
non-hodgkin's lymphoma,9
cushing's syndrome,9
unresponsive to stimuli,9
aggression,9
syncope,9
pregnancy on oral contraceptive,9
alopecia,9
oropharyngeal pain,9
feeling abnormal,9
hemiplegia,9
therapy change,9
hyperparathyroidism,9
haematemesis,9
intentional product misuse,9
aphasia,9
neck pain,9
hydrocele,9
constipation,9
left ventricular dysfunction,8
interstitial lung disease,8
hypoglycaemia,8
cognitive disorder,8
amenorrhoea,8
drug level below therapeutic,8
vitamin b12 deficiency,8
cholelithiasis,8
hyperbilirubinaemia,8
lung infiltration,8
blindness,8
skull malformation,8
clavicle fracture,8
pericardial effusion,8
gastrointestinal haemorrhage,8
syphilis,8
congenital hydrocephalus,8
prescribed underdose,8
oesophageal ulcer,8
erythema annulare,8
lymphoedema,8
libido decreased,8
nodule,8
portal hypertensive gastropathy,8
arthropathy,8
porphyria non-acute,8
skin hyperpigmentation,8
unevaluable event,8
cholestatic liver injury,8
tumour lysis syndrome,8
cystitis noninfective,8
histoplasmosis disseminated,8
anaemia macrocytic,8
metastases to lymph nodes,8
hypothyroidism,8
hepatic necrosis,8
joint swelling,8
swelling,8
abortion incomplete,8
musculoskeletal stiffness,8
hepatic encephalopathy,8
bradycardia,7
monoclonal gammopathy,7
skin disorder,7
dysphonia,7
viral load abnormal,7
limb deformity,7
weight fluctuation,7
retroviral rebound syndrome,7
myelosuppression,7
paraparesis,7
hereditary optic atrophy,7
neurosyphilis,7
urinary incontinence,7
musculoskeletal pain,7
burning sensation,7
atypical mycobacterial infection,7
medication error,7
endometrial sarcoma,7
muscle atrophy,7
cervical vertebral fracture,7
umbilical hernia,7
multiple injuries,7
cytomegalovirus infection,7
drug level decreased,7
sjs-ten overlap,7
dermatitis exfoliative,7
faeces discoloured,7
arteriosclerosis,7
hypotonia,7
cerebral infarction,7
dental caries,7
mood swings,7
lip swelling,7
tuberculoid leprosy,7
panic attack,7
macular oedema,7
clostridium difficile colitis,7
premature labour,7
hyperreflexia,7
exposure during breast feeding,7
unintended pregnancy,7
leukocytosis,7
ovarian failure,7
cardiac arrest,7
ocular hyperaemia,7
epidermodysplasia verruciformis,7
visual impairment,7
spinal pain,7
bipolar disorder,7
lymphoma,7
skin necrosis,7
urinary tract inflammation,7
multiple organ dysfunction syndrome,7
papilloedema,7
hyperphagia,7
exposure via breast milk,7
hepatitis fulminant,7
haemorrhage,7
hyperthyroidism,7
anal cancer,7
attention deficit/hyperactivity disorder,6
psychotic symptom,6
ophthalmic herpes zoster,6
international normalised ratio fluctuation,6
hypopituitarism,6
low density lipoprotein increased,6
ventricular extrasystoles,6
influenza,6
drug effect increased,6
blood urine present,6
gamma-glutamyltransferase increased,6
toxic epidermal necrolysis,6
hypocalcaemia,6
nasopharyngitis,6
skin ulcer,6
diabetes mellitus inadequate control,6
myocardial ischaemia,6
hypophagia,6
acute stress disorder,6
amylase increased,6
oligohydramnios,6
pneumothorax,6
humerus fracture,6
central nervous system immune reconstitution inflammatory response,6
breast pain,6
ulcer,6
hypertensive crisis,6
papule,6
peripheral swelling,6
cd4 lymphocytes abnormal,6
respiratory tract infection,6
poisoning,6
body fat disorder,6
schizophrenia,6
glomerulonephritis,6
asthma,6
genital herpes,6
hyperlactacidaemia,6
blood pressure increased,6
pachygyria,6
flatulence,6
cellulitis,6
rhinorrhoea,6
pulmonary hypertension,6
pneumonia pneumococcal,6
nonalcoholic fatty liver disease,6
mood altered,6
viith nerve paralysis,6
gene mutation identification test positive,6
developmental hip dysplasia,6
abdominal pain lower,6
micrognathia,6
rales,6
productive cough,6
myocarditis,6
nocturia,6
systemic lupus erythematosus,6
plagiocephaly,6
bone metabolism disorder,6
auditory,6
mixed liver injury,6
glomerular filtration rate increased,6
csf hiv escape syndrome,6
goitre,6
sleep terror,6
therapy cessation,6
neoplasm progression,6
superinfection bacterial,6
scar,6
oropharyngeal candidiasis,6
therapeutic product effect incomplete,6
fibula fracture,6
axonal neuropathy,6
intervertebral disc protrusion,6
spinocerebellar disorder,6
radius fracture,6
renal mass,6
microcephaly,6
blood alkaline phosphatase increased,6
acute generalised exanthematous pustulosis,5
acute psychosis,5
atrophy,5
craniocerebral injury,5
lipase increased,5
tooth disorder,5
catatonia,5
cytomegalovirus oesophagitis,5
lumbar vertebral fracture,5
antiviral drug level above therapeutic,5
petit mal epilepsy,5
atrial septal defect,5
fat tissue increased,5
thinking abnormal,5
gastrostomy,5
brachydactyly,5
lymphadenitis,5
porphyria acute,5
skin mass,5
drug dependence,5
necrosis,5
neck deformity,5
cerebral ventricle dilatation,5
contusion,5
stress fracture,5
pruritus generalised,5
bacterial sepsis,5
therapy interrupted,5
face oedema,5
hyperglycaemia,5
rebound effect,5
acute myeloid leukaemia,5
small for dates baby,5
crying,5
transplant rejection,5
carpal tunnel syndrome,5
exostosis,5
gingival bleeding,5
bedridden,5
red blood cell abnormality,5
electrolyte imbalance,5
psoriatic arthropathy,5
optic atrophy,5
acute respiratory distress syndrome,5
abscess limb,5
hyperphosphaturia,5
blood glucose increased,5
conductive deafness,5
skin toxicity,5
abdominal lymphadenopathy,5
epilepsy,5
neuropsychological symptoms,5
staphylococcal infection,5
fibrous histiocytoma,5
body height decreased,5
product use in unapproved therapeutic environment,5
molluscum contagiosum,5
depressed level of consciousness,5
pneumonitis,5
body mass index increased,5
maculopathy,5
musculoskeletal toxicity,5
eczema,5
rash macular,5
diabetic ketoacidosis,5
pneumonia aspiration,5
cholestasis,5
visceral leishmaniasis,5
abdominal tenderness,5
infertility,5
cerebellar syndrome,5
balance disorder,5
bone tuberculosis,5
genetic polymorphism,5
nephrotic syndrome,5
lymph node pain,5
delayed puberty,5
oesophageal varices haemorrhage,5
portal vein thrombosis,5
labelled drug-drug interaction issue,5
injury,5
respiratory symptom,5
road traffic accident,5
apathy,5
posterior reversible encephalopathy syndrome,5
product administration error,5
mass,5
cerebral haemorrhage,5
blood lactate dehydrogenase increased,5
gestational hypertension,5
hypertrophic cardiomyopathy,5
urticaria,5
candida infection,5
vascular stent thrombosis,5
nervousness,5
cryptosporidiosis infection,5
major depression,5
conjunctivitis,5
polyneuropathy chronic,5
enuresis,5
cataract,5
glomerular filtration rate abnormal,5
type 1 lepra reaction,5
swelling face,5
patella fracture,5
encephalocele,5
malaria,5
meningitis viral,5
polydipsia,5
eye haemorrhage,5
tongue coated,5
dyspnoea exertional,5
hyperuricaemia,5
lymphadenopathy mediastinal,5
skin discolouration,5
vitiligo,5
feeling drunk,5
slow response to stimuli,5
antiviral drug level below therapeutic,5
chronic gastritis,5
nasal obstruction,5
duodenitis,4
musculoskeletal discomfort,4
leukocyturia,4
dry skin,4
cardiac discomfort,4
photophobia,4
muscle abscess,4
aids dementia complex,4
fear-related avoidance of activities,4
congenital tuberculosis,4
red blood cells urine,4
psychiatric symptom,4
renal function test abnormal,4
oesophageal carcinoma,4
mycosis fungoides,4
neutrophil count decreased,4
pancreatic disorder,4
hypophosphataemic osteomalacia,4
drug resistance mutation,4
international normalised ratio increased,4
cervical dysplasia,4
perforated ulcer,4
epistaxis,4
hyperaemia,4
wheelchair user,4
overlap syndrome,4
fibrosis,4
death neonatal,4
thirst,4
otitis media,4
no therapeutic response,4
transaminases abnormal,4
failure to thrive,4
dysdiadochokinesis,4
granulocytopenia,4
daydreaming,4
haematochezia,4
limb injury,4
eyelid oedema,4
rash generalised,4
benign prostatic hyperplasia,4
drug screen positive,4
herpes simplex,4
transfusion,4
upper respiratory tract infection,4
chest discomfort,4
periodontitis,4
appendicitis,4
mucosal ulceration,4
bone erosion,4
myositis,4
haemoptysis,4
anaemia of chronic disease,4
left ventricular hypertrophy,4
hepatitis a,4
spinal cord compression,4
pemphigoid,4
convulsion,4
bronchitis,4
cardiac murmur,4
mania,4
varicella zoster virus infection,4
genital prolapse,4
congenital knee deformity,4
hyperphosphataemia,4
focal segmental glomerulosclerosis,4
hair texture abnormal,4
hyponatraemia,4
joint injury,4
areflexia,4
amniotic cavity infection,4
osteomyelitis,4
lung consolidation,4
endocarditis,4
hypermetabolism,4
optic disc haemorrhage,4
diffuse large b-cell lymphoma,4
renal tubular injury,4
penicillium infection,4
heart disease congenital,4
cryptococcal fungaemia,4
aphthous ulcer,4
arnold-chiari malformation,4
mucocutaneous leishmaniasis,4
anencephaly,4
carotid arteriosclerosis,4
tinnitus,4
type iii hyperlipidaemia,4
protein urine,4
diastasis recti abdominis,4
pleocytosis,4
retinal exudates,4
renal cancer,4
endocrine ophthalmopathy,4
atrial fibrillation,4
diabetes insipidus,4
hypogonadism,4
granulomatous liver disease,4
stress,4
white blood cell count decreased,4
b-cell lymphoma,4
musculoskeletal deformity,4
choking,4
collateral circulation,4
shock,4
congenital syphilis,4
lymphocytic infiltration,4
spinal stenosis,4
cleft palate,4
cerebral atrophy,4
blood cholesterol abnormal,4
kidney enlargement,4
motor dysfunction,4
brain oedema,4
duodenal ulcer,4
biliary dilatation,4
meconium ileus,4
anaphylactic reaction,4
back injury,4
transplant failure,4
pyelonephritis acute,4
respiratory distress,4
calculus urinary,4
central nervous system lymphoma,4
abortion missed,4
therapeutic product effect decreased,4
type 1 diabetes mellitus,4
haemolytic anaemia,4
onychomycosis,4
spinal cord injury,4
meningitis meningococcal,4
dysmorphism,4
illness,4
cardiac failure acute,4
parakeratosis,4
angioedema,4
paraplegia,4
white matter lesion,4
gastric varices,4
syndactyly,4
central nervous system inflammation,3
spinal deformity,3
intestinal perforation,3
vanishing twin syndrome,3
cd4 lymphocytes increased,3
anticonvulsant drug level below therapeutic,3
restlessness,3
cystic fibrosis,3
social avoidant behaviour,3
behaviour disorder,3
electrocardiogram st segment elevation,3
pelvic fracture,3
meningoencephalitis viral,3
brain neoplasm,3
protein total abnormal,3
fear of falling,3
cytomegalovirus colitis,3
abortion threatened,3
chorea,3
scleroderma,3
parainfluenzae virus infection,3
aortic arteriosclerosis,3
acidosis,3
dermatitis atopic,3
placental insufficiency,3
loss of libido,3
hydranencephaly,3
chronic cutaneous lupus erythematosus,3
scoliosis,3
ulna fracture,3
escherichia pyelonephritis,3
pulmonary arterial hypertension,3
cushingoid,3
bone lesion,3
arthritis infective,3
pulmonary mass,3
tertiary adrenal insufficiency,3
shoulder fracture,3
sickle cell disease,3
vulvovaginal candidiasis,3
partial seizures,3
macrocephaly,3
generalised oedema,3
vertebral foraminal stenosis,3
micturition disorder,3
erythema multiforme,3
blood triglycerides abnormal,3
oral herpes,3
lip and/or oral cavity cancer,3
oropharyngeal plaque,3
azotaemia,3
autosomal chromosome anomaly,3
ureterolithiasis,3
therapeutic product cross-reactivity,3
apoptosis,3
sluggishness,3
periorbital oedema,3
hallucinations,3
renal glycosuria,3
mixed,3
maternal exposure during breast feeding,3
tuberculosis gastrointestinal,3
pelvic fluid collection,3
limb malformation,3
bipolar i disorder,3
blood creatinine abnormal,3
impaired fasting glucose,3
atrial hypertrophy,3
neurodermatitis,3
drug withdrawal maintenance therapy,3
shock haemorrhagic,3
left ventricular failure,3
radiculopathy,3
hydroureter,3
neoplasm malignant,3
drug effect decreased,3
liver transplant,3
guillain-barre syndrome,3
hypothermia,3
erythema elevatum diutinum,3
hypoalbuminaemia,3
chronic obstructive pulmonary disease,3
meningioma,3
sexual dysfunction,3
sleep apnoea syndrome,3
aplasia cutis congenita,3
arrhythmia,3
obesity,3
irritable bowel syndrome,3
bursitis,3
rhinitis,3
blood creatine increased,3
genitourinary symptom,3
fungal infection,3
human herpesvirus 8 infection,3
fistula,3
intracranial mass,3
eating disorder,3
tooth injury,3
lung opacity,3
accidental overdose,3
pneumonia cytomegaloviral,3
congenital cytomegalovirus infection,3
concomitant disease aggravated,3
colour vision tests abnormal,3
hepatic lesion,3
degenerative bone disease,3
laceration,3
delusion,3
loose tooth,3
sciatica,3
intercapillary glomerulosclerosis,3
maternal exposure during delivery,3
protein total increased,3
hypersomnia,3
selective eating disorder,3
transient ischaemic attack,3
gastrointestinal mucormycosis,3
acanthosis,3
rectal haemorrhage,3
chronic hepatitis,3
uterine dilation and evacuation,3
ejection fraction decreased,3
tonsillar inflammation,3
respiratory tract infection viral,3
pharyngitis,3
pharyngeal erythema,3
intestinal ischaemia,3
blister,3
pharyngeal erosion,3
bronchopulmonary aspergillosis,3
pharyngeal disorder,3
movement disorder,3
hiv peripheral neuropathy,3
migraine,3
neurosis,3
nail discolouration,3
acute respiratory failure,3
abulia,3
hyperkeratosis,3
lipohypertrophy,3
microcytic anaemia,3
lacrimation increased,3
dry mouth,3
dandy-walker syndrome,3
pancreatitis necrotising,3
bronchopneumonia,3
congenital anomaly,3
ultrasound antenatal screen abnormal,3
foetal malformation,3
bradykinesia,3
exophthalmos,3
cardio-respiratory arrest,3
locked-in syndrome,3
myasthenia gravis,3
jc virus infection,3
brain death,3
initial insomnia,3
hyperchlorhydria,3
chondropathy,3
hiatus hernia,3
csf glucose decreased,3
inappropriate schedule of drug administration,3
carotid artery occlusion,3
cervix carcinoma,3
neuropsychiatric syndrome,3
dactylitis,3
tongue disorder,3
oral mucosal erythema,3
muscle disorder,3
local swelling,3
glycosylated haemoglobin increased,3
haemorrhagic stroke,3
spinal muscular atrophy,3
adenocarcinoma gastric,3
hypercalcaemia,3
sinus tachycardia,3
pleurisy,3
portal vein occlusion,3
csf protein increased,3
hiv associated nephropathy,3
erosive oesophagitis,3
liver abscess,3
oral pain,3
hepatitis acute,3
cerebellar infarction,3
head discomfort,3
gastritis haemorrhagic,3
gastric polyps,3
full blood count decreased,3
skin hypopigmentation,3
scratch,3
colour blindness,3
upper gastrointestinal haemorrhage,3
immune thrombocytopenic purpura,3
white blood cell count increased,3
intentional overdose,3
uterine leiomyoma,3
pigmentation disorder,3
lung infection,3
polyhydramnios,3
pancreatitis chronic,3
tenderness,3
peripheral sensory neuropathy,3
hypertransaminasaemia,3
optic neuropathy,3
blood creatine phosphokinase abnormal,3
alopecia areata,3
accessory auricle,3
acinetobacter infection,3
mental impairment,3
benign hydatidiform mole,3
slow speech,3
mycobacterial infection,3
lung disorder,3
vasculitis,3
psoriasis,3
brain abscess,3
red blood cell count decreased,3
autoimmune haemolytic anaemia,3
cholecystitis,3
meningitis bacterial,3
performance status decreased,3
epstein-barr virus infection,3
bronchial carcinoma,2
white blood cell disorder,2
thrombocytosis,2
rheumatic disorder,2
neuritis,2
joint effusion,2
colitis microscopic,2
c-reactive protein,2
aortic stenosis,2
stenosis,2
encephalitis viral,2
focal dyscognitive seizures,2
amylase abnormal,2
troponin i increased,2
anal atresia,2
urethritis chlamydial,2
congenital limb hyperextension,2
bursitis infective,2
papillary renal cell carcinoma,2
coccidioidomycosis,2
wrist deformity,2
systemic scleroderma,2
macrocytosis,2
device related infection,2
delayed delivery,2
wound secretion,2
vaginal haemorrhage,2
amyloidosis,2
chapped lips,2
uterine contractions during pregnancy,2
muscle fatigue,2
threatened labour,2
cytomegalovirus enterocolitis,2
amyotrophy,2
beta haemolytic streptococcal infection,2
hypomagnesaemia,2
neonatal respiratory distress syndrome,2
facet joint syndrome,2
immobile,2
plasmodium malariae infection,2
kyphosis,2
growth retardation,2
nephritis,2
anosmia,2
neurocryptococcosis,2
tuberculosis of central nervous system,2
cervical spinal stenosis,2
neck mass,2
cardiac failure chronic,2
sensory loss,2
intervertebral disc operation,2
orthostatic hypotension,2
ageusia,2
spinal disorder,2
renal arteriosclerosis,2
abasia,2
papilloma viral infection,2
fine motor delay,2
acarodermatitis,2
congenital hair disorder,2
complication of pregnancy,2
anal fistula infection,2
visual,2
dermatomyositis,2
temperature intolerance,2
hepatitis b reactivation,2
inappropriate schedule of product administration,2
microscopic polyangiitis,2
mental status changes,2
blood thyroid stimulating hormone decreased,2
lumbar spinal stenosis,2
cardiotoxicity,2
osteonecrosis of jaw,2
seborrhoeic dermatitis,2
gingival swelling,2
thyroxine free increased,2
blood calcium decreased,2
aids related complication,2
rash scarlatiniform,2
antinuclear antibody positive,2
dermatitis bullous,2
dementia,2
disease risk factor,2
congenital toxoplasmosis,2
ankyloglossia congenital,2
electrocardiogram qt prolonged,2
dry eye,2
ototoxicity,2
blood hiv rna,2
arterial stenosis,2
cheilitis,2
deafness bilateral,2
breast swelling,2
tendon rupture,2
skin reaction,2
infarction,2
capillary disorder,2
eye irritation,2
normocytic anaemia,2
body temperature increased,2
genitalia external ambiguous,2
anger,2
learning disorder,2
ocular icterus,2
ulcerative keratitis,2
c-reactive protein increased,2
antisocial behaviour,2
coronary artery occlusion,2
sarcoidosis,2
illusion,2
hiv test positive,2
purpura,2
unwanted pregnancy,2
sexually transmitted disease,2
homicidal ideation,2
epidermal necrosis,2
uveitis,2
madarosis,2
melanoderma,2
polyneuropathy,2
penile exfoliation,2
penile ulceration,2
scrotal ulcer,2
tri-iodothyronine increased,2
use of accessory respiratory muscles,2
blood pressure decreased,2
chest x-ray abnormal,2
perineal abscess,2
fontanelle depressed,2
haemodialysis,2
crepitations,2
antimitochondrial antibody positive,2
hepatitis e,2
congenital cystic kidney disease,2
lip oedema,2
papilloma,2
mitochondrial cytopathy,2
androgen deficiency,2
central hypothyroidism,2
empty sella syndrome,2
growth hormone deficiency,2
hypotrichosis,2
secondary adrenocortical insufficiency,2
secondary hypogonadism,2
hypopharyngeal cancer stage ii,2
adrenal neoplasm,2
extradural neoplasm,2
leiomyoma,2
schwannoma,2
smooth muscle cell neoplasm,2
spinal cord neoplasm,2
thrombotic cerebral infarction,2
gingival hypertrophy,2
lymphadenitis viral,2
koebner phenomenon,2
pancreatic duct dilatation,2
ependymoma,2
intra-abdominal fluid collection,2
granulocyte count decreased,2
hypospadias,2
umbilical cord abnormality,2
knee operation,2
paralysis,2
non-scarring alopecia,2
pustule,2
scab,2
epiretinal membrane,2
vitreous haemorrhage,2
portal vein embolism,2
bile duct stent insertion,2
bile duct stone,2
hepatic mass,2
post cholecystectomy syndrome,2
cholecystitis chronic,2
splenic fibrosis,2
adrenal adenoma,2
gastritis erosive,2
gastrointestinal inflammation,2
retinal haemorrhage,2
grip strength decreased,2
lupus-like syndrome,2
acrochordon,2
aortic valve sclerosis,2
balanoposthitis,2
electrocardiogram repolarisation abnormality,2
foot deformity,2
infection reactivation,2
mitral valve sclerosis,2
osteochondrosis,2
penile plaque,2
penile swelling,2
retinopathy hypertensive,2
skin papilloma,2
synovitis,2
vertebrobasilar insufficiency,2
cytomegalovirus pancreatitis,2
disseminated mycobacterium avium complex infection,2
heart failure with reduced ejection fraction,2
ileus paralytic,2
overweight,2
petechiae,2
peritoneal haematoma,2
quadriparesis,2
skin warm,2
left atrial enlargement,2
left ventricular enlargement,2
snoring,2
pyramidal tract syndrome,2
extensor plantar response,2
